# TESS Program G08046

Title: Planets And Stellar Activity Through Time: Understanding The Evolution, Diversity And Habitability Of Planetary Systems

PI: Battley, Matthew - Queen Mary University Of London

Type: SMALL

Summary: Young exoplanets offer unique insights into the formation and evolution processes that form the diverse population of exoplanets known today. We propose to observe 10,140 young stars with 2-min cadence, in order to search for new young exoplanets and characterise the early evolution of stellar flare activity in order to understand its effects on the diversity and habitability of planetary systems. Our sample is drawn from 55 nearby stellar associations, co-moving groups and open clusters with precise ages from 1Myr 3 Gyr, providing a wide overview of exoplanetary evolution over these early epochs. The longer sectors and adjusted pointing of Cycle 8 will allow us to extend the search to longer-period young exoplanets and better characterise the rotational activity of these young stars.


# Sector 097 targets observed (2 min: 858, 20 s: 59)
140073180,57.3024,-41.1433,13.44,G08046;G08137
140073521,57.4046,-39.4119,13.91,G08046
140075438,57.426,-41.6144,8.87,G08046
140075700,57.6635,-40.9472,15.3,G08046
140121542,57.6708,-39.7451,13.47,G08046;G08137
140140235,58.0495,-40.2446,14.11,G08046;G08103
140143250,58.54,-41.6806,16.14,G08046
144103127,59.1498,-42.5552,13.76,G08046;G08137
144104164,59.22,-46.8286,10.36,G08046
144110297,59.5707,-46.3288,15.63,G08046
144110354,59.5726,-46.5702,12.21,G08046;G08137
144126052,60.0576,-42.943,13.36,G08046;G08137;G08158
144162567,60.9729,-44.6587,9.73,G08046;G08158;G08137
146725601,44.7639,-42.5459,12.9,G08046;G08137
146731015,45.5964,-45.4746,15.91,G08046;G08103
152469805,61.7196,-43.1452,13.86,G08046
152470268,61.7061,-45.1601,11.51,G08046;G08137
152471777,61.8802,-43.74,17.41,G08046;G08103
152472413,62.048,-42.8539,7.99,G08046
152472475,62.1013,-43.1374,14.97,G08046;G08103
152477165,62.5832,-43.8556,15.22,G08046
152969046,47.6097,-44.345,12.73,G08046
152970890,47.9403,-47.3307,12.18,G08046;G08137;G08103;G08158
159924070,48.9189,-39.645,16.15,G08046
159950647,49.6125,-38.0532,12.96,G08046
159972021,50.0398,-40.2945,8.62,G08046
160008578,51.243,-40.6606,13.39,G08046;G08137
160008866,51.1698,-39.0731,11.51,G08046;G08137;G08158
160009695,51.3504,-37.1017,13.47,G08033;G08046;G08103;G08137
160009706,51.3037,-37.1527,7.07,G08046
165190615,47.6782,-39.0515,6.87,G08101;G08046
165191092,47.7182,-41.6563,13.19,G08046;G08103;G08137
165214815,56.6588,-39.1112,12.06,G08033;G08046;G08137
165216260,56.724,-39.2762,13.43,G08046;G08137
165217025,56.9165,-41.2337,15.13,G08033;G08046
165217585,56.8522,-38.8299,14.01,G08046;G08103
165219666,56.9845,-41.9402,10.28,G08046;G08137
200743344,49.1144,-48.423,14.83,G08046;G08137
200787570,51.7394,-50.1545,13.6,G08046
200851813,53.6623,-49.9639,15.92,G08046
206384979,54.2235,-49.958,7.07,G08046
220596971,58.6161,-45.678,13.94,G08046
301022283,47.3633,-45.2886,12.41,G08033;G08046;G08137
308244879,51.6005,-40.1453,16.16,G08046;G08103
308245136,51.6548,-38.8378,12.46,G08046;G08137;G08158;20SECONDTARGET
308245314,51.5808,-37.7432,13.03,G08033;G08046;G08103;G08137
