# TESS Program G09062

Title: A Survey Of Oscillations And Granulation In Subgiant Stars

PI: Chontos, Ashley - Dartmouth College

Type: SMALL

Summary: Brightness variations observed in high-precision light curves encode powerful information about fundamental properties and convection in subgiant stars through oscillations and granulation. However, the current sample of subgiants with measured oscillations and granulation is predominantly focused on the Kepler field, and prime mission TESS data do not provide sufficient time coverage to make precise measurements. Here we propose 2-minute cadence observations to perform a survey of oscillations and granulation in subgiant stars, which will enable us to (i) probe the efficiency of convective driving and damping of oscillations, (ii) test stellar models by constraining convective properties such as the mixing length parameter and (iii) calibrate granulation metrics for TESS stars.


# Sector 108 targets observed (2 min: 655, 20 s: 186)
441500236,46.7196,-14.7755,9.76,G09062
441500413,46.7172,-15.6168,9.73,G09062
441502016,46.791,-12.4894,8.82,G09062
441507299,47.8781,-13.5252,7.27,G09062;20SECONDTARGET
441539124,49.3981,-17.6452,8.46,G09062
55895344,50.3619,-15.798,8.45,G09062
71344353,45.0066,-19.7638,9.21,G09062
92234254,48.8723,-18.1751,6.86,G09062
92252166,49.6724,-18.5603,5.51,G09194;G09062;20SECONDTARGET
92346061,51.3031,-21.0723,7.36,G09062;20SECONDTARGET
92356230,51.8898,-19.0043,9.68,G09062
92362554,52.6669,-19.4356,6.85,G09062;20SECONDTARGET
93050976,52.4403,-14.4285,8.03,G09062
93051463,52.3869,-16.9988,8.17,G09062
93105467,53.438,-15.1289,6.62,G09062;20SECONDTARGET
93122197,53.6593,-12.2984,7.19,G09062;20SECONDTARGET
97492473,44.0994,-18.7039,8.61,G09062
9859432,48.6373,-9.6869,7.24,G09062;20SECONDTARGET
98680014,43.6356,-16.7916,8.74,G09062
98728379,44.1952,-13.2383,7.58,G09062;20SECONDTARGET
98756201,44.5113,-15.8371,7.6,G09062;20SECONDTARGET
98794593,45.3338,-17.2297,7.69,G09062;20SECONDTARGET
98869821,46.5168,-13.4348,7.66,G09062
9899460,48.9951,-11.9145,9.25,G09062
9967126,50.6485,-11.7008,8.21,G09062
9967279,50.818,-11.347,7.15,G09062
122506764,38.4621,-29.9327,6.88,G09062;20SECONDTARGET
122522574,38.635,-29.9497,7.67,G09062;20SECONDTARGET
122556844,39.5786,-30.1946,5.37,G09062;20SECONDTARGET
122615835,41.4807,-30.4813,7.21,G09062;20SECONDTARGET
144481708,49.5316,-24.951,9.07,G09062
144481929,49.462,-26.3525,7.06,G09062
144496130,49.6833,-25.429,8.02,G09062
