# TESS Program G07025

Title: The TESS Legacy Survey Of Accreting Compact Binaries

PI: Scaringi, Simone - Durham University

Type: MINI

Summary: Accretion is responsible for the growth and evolution of most objects in the Universe, yet many unanswered questions remain in accretion disk physics. We propose to observe a sample accreting compact objects (comprising a mix of accreting white dwarfs, neutron stars, and stellar-mass black holes) at 2-minute cadence with TESS, and 50 at 20 second cadence. These observations will provide a long-lasting legacy dataset unravelling the optical variability properties of a variety of accreting compact objects.


# Sector 084 targets observed (2 min: 160, 20 s: 4)
628786911,28.7914,69.7111,16.95,G07025;G07092;20SECONDTARGET
251128211,43.1069,58.7675,16.34,G07025
280027195,53.7042,60.989,18.02,G07025
316742654,53.0647,58.7895,15.78,G07025
346020403,50.3096,61.0908,17.16,G07025
428594385,56.2983,53.5874,15.68,G07025
286641602,76.2528,60.9152,17.21,G07025;G07145;G07145
287006537,83.1414,62.7979,15.27,G07025
669316834,67.8161,58.7527,18.52,G07025
82969837,79.9566,64.4894,16.77,G07025
352111822,14.7209,70.8501,16.18,G07025
417748369,348.9631,72.2988,15.81,G07025
468534367,14.7518,75.0012,17.05,G07025
609742113,9.6566,79.3603,16.32,G07025
629585425,25.4721,73.8891,18.27,G07025
142047616,76.7012,83.3231,14.93,G07025
150317053,117.4066,88.7414,14.17,G07025
279923419,38.9932,80.4957,13.84,G07025
1271372705,250.241,78.7164,19.2,G07025
154907457,200.1152,87.8171,15.21,G07025
1551771665,279.1772,78.2,19.06,G07025
159500861,245.8472,78.4344,18.08,G07025;G07145
1981844550,301.3262,86.5763,18.23,G07025
328901708,219.6182,82.4944,15.04,G07025
237232687,297.2769,77.7397,14.45,G07025;G07036
255920840,307.6562,70.7844,16.61,G07025
387352093,310.1266,69.9889,18.69,G07025
1718053861,282.3186,65.4953,18.67,G07025
1884110538,290.8677,61.4036,18.17,G07025
229791903,284.3349,71.5219,15.64,G07025;G07036
230017778,291.5404,61.2202,16.65,G07025;G07036
233738348,277.9357,65.1917,15.42,G07025;G07036;G07167
256616052,299.9155,65.9114,16.83,G07025;G07036
258799357,286.7761,69.1458,17.73,G07025;G07036
1201303785,240.0854,70.8353,18.26,G07025;G07145;G07145
1201319601,247.7509,69.8337,20.2,G07025
1201347852,247.8575,73.9032,18.56,G07025
1271276791,258.924,68.9452,18.1,G07025
219107776,271.06,67.9035,13.93,G07025;G07036;G07071
287085812,253.179,70.5041,16.55,G07025;G07036
1201247611,242.8915,63.1421,18.03,G07025;G07036;G07092
1271106538,255.5356,55.3074,18.85,G07025
198178353,244.2539,62.0068,17.27,G07025;G07036
198407749,258.7366,58.8579,13.57,G07025;G07036
219756421,261.795,61.7578,14.13,G07025;G07036;G07167
219762611,262.5348,62.7985,16.14,G07025;G07036
232607126,258.1987,60.7675,18.06,G07025
287152647,253.9124,60.1999,16.09,G07025;G07036
1400739415,266.947,55.4883,18.95,G07025
1551521619,275.3438,61.8153,19.05,G07025
1717416294,285.9257,53.7961,18.18,G07025
1717615998,280.9016,49.8851,17.51,G07025
1717869287,283.2901,59.752,18.29,G07025
1717936601,281.4263,62.3955,17.61,G07025;G07036
233124538,273.6243,61.3928,15.14,G07025;G07036

# Sector 087 targets observed (2 min: 109, 20 s: 13)
176722720,88.0324,-5.4168,13.46,G07025
234712743,96.9433,1.803,16.2,G07025
251264995,95.6856,-0.3457,16.68,G07025
39580395,89.5245,-0.1877,17.83,G07025;G07092
43151018,97.4745,-3.5857,13.27,G07025
712460228,98.2547,3.0594,18.21,G07025
120674276,102.4622,-7.6281,16.55,G07025
120746370,102.4132,-6.0014,14.18,G07025
293134045,107.8906,0.8685,12.98,G07025;G07167
33366214,106.0201,-3.8474,9.53,G07025
36552453,102.3659,-4.2308,11.95,G07025
754509198,109.0879,-3.224,18.92,G07025
758538006,100.6791,2.3353,18.66,G07025
425144137,105.8218,10.309,14.55,G07025;G07167
