TICID,RA,Dec,Tmag,Keywords
828510029,130.6875,-33.628,17.41,G07092;20SECONDTARGET
828628477,131.3459,-32.0422,18.42,G07092;20SECONDTARGET
828897295,130.0338,-31.5723,18.64,G07092;20SECONDTARGET
829081334,131.5535,-31.3333,18.18,G07092;20SECONDTARGET
829266857,131.832,-29.9666,17.65,G07092;20SECONDTARGET
829356748,132.5873,-29.4539,18.98,G07092;20SECONDTARGET
829403616,131.2073,-28.9663,18.9,G07092;20SECONDTARGET
829409714,131.6287,-28.6807,18.59,G07092;20SECONDTARGET
829505867,127.5319,-31.7542,18.51,G07092;20SECONDTARGET
829545481,127.2422,-30.939,18.12,G07092;20SECONDTARGET
830230824,129.6805,-28.4502,17.82,G07025;G07092;20SECONDTARGET
830351814,131.3564,-27.0182,18.39,G07092;20SECONDTARGET
830636550,134.9787,-29.74,18.14,G07092;20SECONDTARGET
874919334,141.1213,-32.4923,18.98,G07092;20SECONDTARGET
101583521,150.57,-35.3455,15.37,G07092;20SECONDTARGET
293811983,144.2468,-37.3562,14.97,G07009;G07092;20SECONDTARGET
33243603,144.9017,-43.1453,17.03,G07092;20SECONDTARGET
33406297,145.2204,-42.5399,16.82,G07092;20SECONDTARGET
35051273,147.7967,-42.6916,16.63,G07092;20SECONDTARGET
393204653,144.3971,-38.8704,16.53,G07092;20SECONDTARGET
44851957,146.7855,-36.8387,16.39,G07092;20SECONDTARGET
48209184,148.0178,-35.5687,16.42,G07092;20SECONDTARGET
48279084,148.2452,-34.4325,17.37,G07092;20SECONDTARGET
5624184,143.1996,-37.7412,16.0,G07084;G07092;20SECONDTARGET
73005766,153.2132,-37.3802,15.75,G07092;20SECONDTARGET
73257724,154.0914,-36.2778,16.84,G07092;20SECONDTARGET
75401353,139.0042,-42.2572,16.04,G07092;20SECONDTARGET
816430935,139.78,-42.3247,19.0,G07092;20SECONDTARGET
816531898,138.7302,-41.1323,17.58,G07092;20SECONDTARGET
867755602,150.3779,-46.8176,18.85,G07092;20SECONDTARGET
869210012,148.8441,-44.6859,18.57,G07092;20SECONDTARGET
